IngID,ingredient,frequency,generic_name,wikilink,wikiimage,FlavorDB_Category,Dietrx_Category,Flavor_DB_Link,flavordb_id,Diet_rx_link
22,cream,8812,Cream,https://en.wikipedia.org/wiki/Cream,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Milk-bottle.jpg/275px-Milk-bottle.jpg,,Dairy,Cream~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=780,780,
23,ginger,8739,Ginger,https://en.wikipedia.org/wiki/Ginger,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Ingwer_2_fcm.jpg/220px-Ingwer_2_fcm.jpg,,Spice,Ginger~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=333,333,ginger~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A94328||siamese ginger~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A94327||chinese ginger~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A199623
24,cilantro,8600,Coriander,https://en.wikipedia.org/wiki/Coriander,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/A_scene_of_Coriander_leaves.JPG/220px-A_scene_of_Coriander_leaves.JPG,,Herb,Coriander~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=254,254,coriander~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4047
25,parmesan cheese,8219,Cheese,https://en.wikipedia.org/wiki/Parmigiano-Reggiano,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Parmesan_Cheese_Parmigiano-Reggiano.jpg/220px-Parmesan_Cheese_Parmigiano-Reggiano.jpg,,Dairy,Cheese~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=62,62,blue cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A24||camembert cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A25||||sheep cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A46||feta cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A34||cheddar cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A26||gruyere cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A36||cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A1||ricotta cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A42||goat cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A35||cottage cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A28||cream cheese~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Dairy+ID%3A30
26,soy sauce,8213,Soybean Sauce,https://en.wikipedia.org/wiki/Soy_sauce,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Soy_sauce_2.jpg/220px-Soy_sauce_2.jpg,Condiment-Sauce,Condiment,Soybean Sauce~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=291,291,soybean~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A3847
27,beef,7701,Beef,https://en.wikipedia.org/wiki/Beef,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Standing-rib-roast.jpg/440px-Standing-rib-roast.jpg,,Meat,Beef~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=270,270,beef cow meat sirloin veal~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=MeatEgg+ID%3A9913
28,oregano,7527,Oregano,https://en.wikipedia.org/wiki/Oregano,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Oregano_%28%E0%A6%85%E0%A6%B0%E0%A7%87%E0%A6%97%E0%A6%BE%E0%A6%A8%E0%A7%8B%29.JPG/220px-Oregano_%28%E0%A6%85%E0%A6%B0%E0%A7%87%E0%A6%97%E0%A6%BE%E0%A6%A8%E0%A7%8B%29.JPG,,Spice,Oregano~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=337,337,tomato~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4081||tree tomato~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A45843
29,potato,7343,Potato,https://en.wikipedia.org/wiki/Potato,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Patates.jpg/220px-Patates.jpg,,Vegetable Tuber,Potato~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=370,370,potato~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4113||air potato~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A35874||duck potato~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A15008||sweet potato~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4120
30,green onion,7230,Scallion,https://en.wikipedia.org/wiki/Scallion,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/2010-06-19-supermarkt-by-RalfR-32.jpg/220px-2010-06-19-supermarkt-by-RalfR-32.jpg,,Herb,Scallion~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=472,472,welsh onion~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A35875||flowering onion~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A74896||onion~https://cosylab.iiitd.edu.in/dietrx/get_food?food_id=Plant+ID%3A4679
31,brown sugar,7198,Sugar,https://en.wikipedia.org/wiki/Brown_sugar,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Brown_sugar_crystals.JPG/310px-Brown_sugar_crystals.JPG,,Additive,Sugar~https://cosylab.iiitd.edu.in/flavordb/entity_details?id=781,781,
